# Hosts Start 
# No resolution for kamaihd.net kamaihd.net
23.202.192.36                  steamgames.com
185.199.111.133                user-images.githubusercontent.com
185.199.108.133                user-images.githubusercontent.com
185.199.109.133                user-images.githubusercontent.com
2606:50c0:8000::154            user-images.githubusercontent.com
2606:50c0:8002::154            user-images.githubusercontent.com
2606:50c0:8003::154            user-images.githubusercontent.com
2606:50c0:8001::154            user-images.githubusercontent.com
185.199.109.133                repository-images.githubusercontent.com
185.199.110.133                repository-images.githubusercontent.com
185.199.111.133                repository-images.githubusercontent.com
185.199.108.133                repository-images.githubusercontent.com
185.199.110.133                marketplace-screenshots.githubusercontent.com
185.199.109.133                marketplace-screenshots.githubusercontent.com
185.199.111.133                marketplace-screenshots.githubusercontent.com
185.199.108.133                marketplace-screenshots.githubusercontent.com
52.217.229.17                  github-production-user-asset-6210df.s3.amazonaws.com
52.217.160.177                 github-production-user-asset-6210df.s3.amazonaws.com
52.217.232.153                 github-production-user-asset-6210df.s3.amazonaws.com
16.182.104.241                 github-production-user-asset-6210df.s3.amazonaws.com
52.217.200.137                 github-production-user-asset-6210df.s3.amazonaws.com
3.5.27.61                      github-production-user-asset-6210df.s3.amazonaws.com
16.182.109.153                 github-production-user-asset-6210df.s3.amazonaws.com
52.216.222.41                  github-production-user-asset-6210df.s3.amazonaws.com
52.217.136.249                 github-production-release-asset-2e65be.s3.amazonaws.com
3.5.30.60                      github-production-release-asset-2e65be.s3.amazonaws.com
16.15.200.76                   github-production-release-asset-2e65be.s3.amazonaws.com
52.217.195.225                 github-production-release-asset-2e65be.s3.amazonaws.com
3.5.27.18                      github-production-release-asset-2e65be.s3.amazonaws.com
3.5.28.244                     github-production-release-asset-2e65be.s3.amazonaws.com
3.5.27.38                      github-production-release-asset-2e65be.s3.amazonaws.com
3.5.29.19                      github-production-release-asset-2e65be.s3.amazonaws.com
52.216.58.225                  github-production-repository-file-5c1aeb.s3.amazonaws.com
3.5.25.126                     github-production-repository-file-5c1aeb.s3.amazonaws.com
3.5.21.189                     github-production-repository-file-5c1aeb.s3.amazonaws.com
3.5.29.21                      github-production-repository-file-5c1aeb.s3.amazonaws.com
3.5.3.159                      github-production-repository-file-5c1aeb.s3.amazonaws.com
52.217.45.124                  github-production-repository-file-5c1aeb.s3.amazonaws.com
3.5.27.198                     github-production-repository-file-5c1aeb.s3.amazonaws.com
3.5.25.107                     github-production-repository-file-5c1aeb.s3.amazonaws.com
104.19.229.21                  hcaptcha.com
104.19.230.21                  hcaptcha.com
34.199.37.11                   epicgames.com
54.225.219.101                 epicgames.com
54.84.96.16                    epicgames.com
104.19.229.21                  js.hcaptcha.com
104.19.230.21                  js.hcaptcha.com
104.19.229.21                  imgs.hcaptcha.com
104.19.230.21                  imgs.hcaptcha.com
104.18.3.64                    store.epicgames.com
104.18.2.64                    store.epicgames.com
162.247.243.30                 bam-cell.nr-data.net
::ffff:162.247.243.30          bam-cell.nr-data.net
108.138.243.185                cdn.unrealengine.com
162.247.243.39                 js-agent.newrelic.com
2602:816:5001::39              js-agent.newrelic.com
23.1.245.155                   cdn1.unrealengine.com
184.28.149.88                  cdn2.unrealengine.com
104.18.20.177                  docs.unrealengine.com
104.18.21.177                  docs.unrealengine.com
18.239.199.29                  download.epicgames.com
18.239.199.15                  download.epicgames.com
18.239.199.58                  download.epicgames.com
18.239.199.51                  download.epicgames.com
2600:9000:25ef:a200:2:b65:62c0:93a1 download.epicgames.com
2600:9000:25ef:fa00:2:b65:62c0:93a1 download.epicgames.com
2600:9000:25ef:5c00:2:b65:62c0:93a1 download.epicgames.com
2600:9000:25ef:ca00:2:b65:62c0:93a1 download.epicgames.com
2600:9000:25ef:d400:2:b65:62c0:93a1 download.epicgames.com
2600:9000:25ef:b000:2:b65:62c0:93a1 download.epicgames.com
2600:9000:25ef:e600:2:b65:62c0:93a1 download.epicgames.com
2600:9000:25ef:2e00:2:b65:62c0:93a1 download.epicgames.com
34.194.200.19                  tracking.epicgames.com
3.234.87.7                     tracking.epicgames.com
52.22.31.144                   tracking.epicgames.com
104.19.230.21                  newassets.hcaptcha.com
104.19.229.21                  newassets.hcaptcha.com
108.138.246.42                 download2.epicgames.com
108.138.246.124                download2.epicgames.com
108.138.246.59                 download2.epicgames.com
108.138.246.76                 download2.epicgames.com
2600:9000:234c:f000:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:234c:8e00:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:234c:8c00:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:234c:8600:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:234c:5e00:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:234c:6000:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:234c:8400:1b:740e:aa80:93a1 download2.epicgames.com
2600:9000:234c:ce00:1b:740e:aa80:93a1 download2.epicgames.com
18.155.192.37                  download3.epicgames.com
18.155.192.124                 download3.epicgames.com
18.155.192.19                  download3.epicgames.com
18.155.192.24                  download3.epicgames.com
2600:9000:24bb:dc00:13:90d:7440:93a1 download3.epicgames.com
2600:9000:24bb:1000:13:90d:7440:93a1 download3.epicgames.com
2600:9000:24bb:2600:13:90d:7440:93a1 download3.epicgames.com
2600:9000:24bb:9600:13:90d:7440:93a1 download3.epicgames.com
2600:9000:24bb:cc00:13:90d:7440:93a1 download3.epicgames.com
2600:9000:24bb:a00:13:90d:7440:93a1 download3.epicgames.com
2600:9000:24bb:bc00:13:90d:7440:93a1 download3.epicgames.com
2600:9000:24bb:f600:13:90d:7440:93a1 download3.epicgames.com
3.169.183.72                   download4.epicgames.com
3.169.183.97                   download4.epicgames.com
3.169.183.34                   download4.epicgames.com
3.169.183.111                  download4.epicgames.com
2600:9000:285b:8400:0:573f:780:93a1 download4.epicgames.com
2600:9000:285b:3c00:0:573f:780:93a1 download4.epicgames.com
2600:9000:285b:ac00:0:573f:780:93a1 download4.epicgames.com
2600:9000:285b:1800:0:573f:780:93a1 download4.epicgames.com
2600:9000:285b:ba00:0:573f:780:93a1 download4.epicgames.com
2600:9000:285b:cc00:0:573f:780:93a1 download4.epicgames.com
2600:9000:285b:7200:0:573f:780:93a1 download4.epicgames.com
2600:9000:285b:7a00:0:573f:780:93a1 download4.epicgames.com
18.239.199.35                  media-cdn.epicgames.com
18.239.199.114                 media-cdn.epicgames.com
18.239.199.81                  media-cdn.epicgames.com
18.239.199.61                  media-cdn.epicgames.com
34.201.212.82                  perf.store.on.epicgames.com
34.206.227.249                 perf.store.on.epicgames.com
52.73.120.51                   perf.store.on.epicgames.com
20.72.203.87                   merchantpool1.epicgames.com
# No resolution for store-launcher.epicgames.com store-launcher.epicgames.com
198.217.251.250                songbird.cardinalcommerce.com
198.217.251.251                songbird.cardinalcommerce.com
2606:4700::c6d9:fbfb           songbird.cardinalcommerce.com
2606:4700::c6d9:fbfa           songbird.cardinalcommerce.com
23.203.209.213                 store-content.ak.epicgames.com
2600:1406:2e00:7a4::3b63       store-content.ak.epicgames.com
2600:1406:2e00:7aa::3b63       store-content.ak.epicgames.com
184.28.149.88                  static-assets-prod.epicgames.com
184.28.149.88                  static-assets-prod.epicgames.com
23.212.62.71                   epicgames-download1.akamaized.net
23.212.62.87                   epicgames-download1.akamaized.net
104.100.76.60                  store-content-ipv4.ak.epicgames.com
# No resolution for talon-website-prod.ak.epicgames.com talon-website-prod.ak.epicgames.com
104.18.22.33                   talon-service-prod.ecosec.on.epicgames.com
104.18.23.33                   talon-service-prod.ecosec.on.epicgames.com
104.18.22.33                   talon-website-prod.ecosec.on.epicgames.com
104.18.23.33                   talon-website-prod.ecosec.on.epicgames.com
23.203.209.213                 store-site-backend-static.ak.epicgames.com
2600:1406:2e00:7a4::3b63       store-site-backend-static.ak.epicgames.com
2600:1406:2e00:7aa::3b63       store-site-backend-static.ak.epicgames.com
3.223.28.92                    account-public-service-prod03.ol.epicgames.com
54.211.181.93                  account-public-service-prod03.ol.epicgames.com
50.17.254.161                  account-public-service-prod03.ol.epicgames.com
3.216.183.107                  account-public-service-prod03.ol.epicgames.com
52.0.195.208                   account-public-service-prod03.ol.epicgames.com
44.212.114.140                 account-public-service-prod03.ol.epicgames.com
3.208.217.186                  account-public-service-prod03.ol.epicgames.com
18.232.248.105                 account-public-service-prod03.ol.epicgames.com
3.168.86.39                    epic-social-social-modules-prod.ol.epicgames.com
3.168.86.68                    epic-social-social-modules-prod.ol.epicgames.com
3.168.86.104                   epic-social-social-modules-prod.ol.epicgames.com
3.168.86.8                     epic-social-social-modules-prod.ol.epicgames.com
44.219.24.124                  eulatracking-public-service-prod06.ol.epicgames.com
34.225.85.163                  eulatracking-public-service-prod06.ol.epicgames.com
52.44.24.189                   eulatracking-public-service-prod06.ol.epicgames.com
98.84.63.132                   eulatracking-public-service-prod06.ol.epicgames.com
# No resolution for assets-hcaptcha-proxy-service-prod.ak.epicgames.com assets-hcaptcha-proxy-service-prod.ak.epicgames.com
43.159.0.230                   weighted-zh-eulatracking-public-service-prod06.ol.epicgames.com
20.190.190.131                 login.live.com
40.126.62.131                  login.live.com
40.126.62.132                  login.live.com
20.190.190.193                 login.live.com
20.190.190.194                 login.live.com
40.126.62.129                  login.live.com
20.190.190.130                 login.live.com
20.190.190.132                 login.live.com
13.107.42.22                   account.live.com
2620:1ec:21::22                account.live.com
# No resolution for livefilestore.com livefilestore.com
13.107.42.12                   docs.live.net
13.107.139.11                  onedrive.live.com
13.107.137.11                  onedrive.live.com
20.135.6.5                     skyapi.live.net
13.107.42.12                   skyapi.onedrive.live.com
104.100.53.136                 l.live.net
13.107.42.12                   api.onedrive.com
# No resolution for users.storage.live.com users.storage.live.com
20.135.4.173                   storage.live.com
13.107.246.69                  logincdn.msauth.net
2620:1ec:bdf::69               logincdn.msauth.net
13.107.246.69                  acctcdn.msauth.net
2620:1ec:bdf::69               acctcdn.msauth.net
# No resolution for progdownload.zune.net progdownload.zune.net
184.28.148.8                   gameclipscontent-d2009.xboxlive.com
2600:1406:3c:490::57           gameclipscontent-d2009.xboxlive.com
2600:1406:3c:4ae::57           gameclipscontent-d2009.xboxlive.com
23.223.246.67                  images-eds.xboxlive.com
23.223.246.81                  images-eds.xboxlive.com
2600:1406:2e00:1c::1743:2169   images-eds.xboxlive.com
2600:1406:2e00:1c::1743:215d   images-eds.xboxlive.com
23.220.162.72                  xbl-smooth.xboxlive.com
23.220.162.70                  xbl-smooth.xboxlive.com
2600:1404:ec00:1d::17dc:a248   xbl-smooth.xboxlive.com
2600:1404:ec00:1d::17dc:a246   xbl-smooth.xboxlive.com
184.28.148.8                   titlehub.xboxlive.com
23.223.246.25                  compass.xboxlive.com
23.223.246.66                  compass.xboxlive.com
2600:1406:2e00:1c::1743:215d   compass.xboxlive.com
2600:1406:2e00:1c::1743:2169   compass.xboxlive.com
23.1.244.9                     xnotify.xboxlive.com
13.66.204.157                  activityhub.xboxlive.com
# No resolution for xboxcare.xboxlive.com xboxcare.xboxlive.com
184.28.148.8                   images-eds-ssl.xboxlive.com
2600:1406:3c:490::57           images-eds-ssl.xboxlive.com
2600:1406:3c:4ae::57           images-eds-ssl.xboxlive.com
199.46.35.121                  rta.xboxlive.com
23.45.136.9                    peoplehub.xboxlive.com
# No resolution for editorial.xboxlive.comedge.microsoft.com editorial.xboxlive.comedge.microsoft.com
104.114.76.162                 msedgeextensions.sf.tlu.dl.delivery.mp.microsoft.com
104.114.76.187                 msedgeextensions.sf.tlu.dl.delivery.mp.microsoft.com
2606:2800:11f:1cb7:261b:1f9c:2074:3c msedgeextensions.sf.tlu.dl.delivery.mp.microsoft.com
52.148.137.12                  next-services.apps.microsoft.com
151.101.202.172                tlu.dl.delivery.mp.microsoft.com
2a04:4e42:2f::684              tlu.dl.delivery.mp.microsoft.com
104.114.76.144                 dl.delivery.mp.microsoft.com
104.114.76.162                 dl.delivery.mp.microsoft.com
2600:1406:2e00:4d::172e:d84c   dl.delivery.mp.microsoft.com
2600:1406:2e00:4d::172e:d844   dl.delivery.mp.microsoft.com
23.46.216.69                   assets1.xboxlive.cn
23.46.216.94                   assets1.xboxlive.cn
23.46.216.96                   assets1.xboxlive.cn
23.46.216.77                   assets1.xboxlive.cn
23.46.216.87                   assets1.xboxlive.cn
2600:1406:2e00:4d::172e:d85e   assets1.xboxlive.cn
2600:1406:2e00:4d::172e:d84d   assets1.xboxlive.cn
2600:1406:2e00:4d::172e:d857   assets1.xboxlive.cn
2600:1406:2e00:4d::172e:d845   assets1.xboxlive.cn
2600:1406:2e00:4d::172e:d860   assets1.xboxlive.cn
23.46.216.87                   assets2.xboxlive.cn
23.46.216.96                   assets2.xboxlive.cn
23.46.216.69                   assets2.xboxlive.cn
23.46.216.77                   assets2.xboxlive.cn
23.46.216.94                   assets2.xboxlive.cn
2600:1406:2e00:4d::172e:d857   assets2.xboxlive.cn
2600:1406:2e00:4d::172e:d860   assets2.xboxlive.cn
2600:1406:2e00:4d::172e:d85e   assets2.xboxlive.cn
2600:1406:2e00:4d::172e:d845   assets2.xboxlive.cn
2600:1406:2e00:4d::172e:d84d   assets2.xboxlive.cn

# Last update at 2024-11-09 14:10:01 (Beijing Time)
# Star me GitHub url: https://github.com/lxitdn/Hosts
# Hosts End 

